lon,lat,Name,Ord,Elevation,url,Description
14.656083,51.010139,44. Kottmar,Second,975,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#44._Kottmar)
14.473083,51.032722,45. Taubenberg,Second,875,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#45._Taubenberg)
14.523194,51.119944,46. Czorneboh,Second,566,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#46._Czorneboh)
14.654861,51.175556,47. Strohmberg,Second,1200,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#47._Strohmberg)
14.459278,51.257528,48. GroÃŸdubrau,Second,1100,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#48._Großdubrau)
14.376556,51.19325,49. Salzenforst,Second,365,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#49._Salzenforst)
14.290611,51.240472,50. Wetro (neuer Standort),Second,365,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#50._Wetro_(neuer_Standort))
14.301361,51.245889,50. Wetro,Second,455,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#50._Wetro)
14.184306,51.155778,51. Butterberg,Second,125,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#51._Butterberg)
14.120722,51.050389,52. Grossenberg,Second,654,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#52._Grossenberg)
14.256639,50.994389,53. Ruhebänke,Second,876,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#53._Ruhebänke)
14.333806,50.899194,54. Raumberg,Second,987,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#54._Raumberg)
14.1765,50.854694,55. Zschirnstein,Second,754,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#55._Zschirnstein)
14.082056,50.930806,56. Lilienstein,Second,366,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#56._Lilienstein)
13.968056,50.898611,57. Cottaer Spitzberg,Second,442,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#57._Cottaer_Spitzberg)
13.920389,50.783028,58. Sattelberg,Second,986,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#58._Sattelberg)
13.798611,50.829333,59. Dittershöhe,Second,589,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#59._Dittershöhe)
13.689639,50.852056,60. K-Kuppe,Second,756,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#60._K-Kuppe)
13.749528,50.920917,61. Wilisch,Second,697,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#61._Wilisch)
13.719333,50.983361,62. Gohlig,Second,578,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#62._Gohlig)
13.737056,51.053028,63. Schlossturm,Second,456,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#63._Schlossturm)
13.675306,51.119389,64. Wahnsdorf,Second,246,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#64._Wahnsdorf)
13.950028,51.121111,65. Felixturm,Second,264,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#65._Felixturm)
14.078083,51.272111,66. Lessingturm,Second,973,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#66._Lessingturm)
13.970583,51.370972,67. Olgahöhe,Second,479,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#67._Olgahöhe)
13.745972,51.329694,68. Galgenberge,Second,127,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#68._Galgenberge)
13.402639,51.452778,69. Schweinfurth,Second,412,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#69._Schweinfurth)
13.274111,51.379889,70. Jacobsthal,Second,462,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#70._Jacobsthal)
13.411028,51.328667,71. Glaubitz,Second,444,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#71._Glaubitz)
13.384972,51.223861,72. Eckartsberg,Second,365,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#72._Eckartsberg)
13.433056,51.145167,73. Korbitzhöhe,Second,365,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#73._Korbitzhöhe)
13.370056,51.091889,74. Katzenberg,Second,455,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#74._Katzenberg)
13.417056,51.012417,75. Neukirchen,Second,125,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#75._Neukirchen)
13.593417,51.055417,76. SteinhÃ¼bel (neuer Standort),Second,654,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#76._Steinhübel_(neuer_Standort))
13.59062,51.05072,76. SteinhÃ¼bel,Second,876,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#76._Steinhübel)
13.602917,50.99525,77. Opitzhöhe,Second,987,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#77._Opitzhöhe)
13.518944,50.912306,78. Klingenberg,Second,754,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#78._Klingenberg)
13.537417,50.799917,79. Frauenstein,Second,366,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#79._Frauenstein)
13.601639,50.743639,80. Drachenkopf,Second,442,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#80._Drachenkopf)
13.610333,50.648611,81. Wieselstein,Second,986,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#81._Wieselstein)
