lon,lat,Name,bkp,img_url,wiki_url,Hoehe,Ordnung,Color
12.201889,50.233444,149. Hainberg,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#149._Hainberg,761,2,Green
12.203444,50.288028,150. Baerenloh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Station_150_B%C3%A4renloh2.jpg/80px-Station_150_B%C3%A4renloh2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Station_150_B%C3%A4renloh2.jpg/80px-Station_150_B%C3%A4renloh2.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#150._B%C3%A4renloh,664,2,Green
12.179167,50.334556,151. Bergen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Station_151_Bergen2.jpg/80px-Station_151_Bergen2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Station_151_Bergen2.jpg/80px-Station_151_Bergen2.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#151._Bergen,616,2,Green
12.106111,50.346444,152. Patzerberg,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#152._Patzerberg,644,2,Green
12.156972,50.473501,153. Kemmlerberg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Station_153_Kemmlerberg.jpg/80px-Station_153_Kemmlerberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Station_153_Kemmlerberg.jpg/80px-Station_153_Kemmlerberg.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#153._Kemmlerberg,511,2,Green
12.047751,50.537139,154. Syrau,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Station_Syrau.JPG/80px-Station_Syrau.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Station_Syrau.JPG/80px-Station_Syrau.JPG,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#154._Syrau,543,2,Green
11.950417,50.573111,155. Sandberg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Station_155_Sandberg.jpg/80px-Station_155_Sandberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Station_155_Sandberg.jpg/80px-Station_155_Sandberg.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#155._Sandberg,547,2,Green
11.878251,50.534472,156. Langenbach,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Station_156_Langenbach.jpg/80px-Station_156_Langenbach.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Station_156_Langenbach.jpg/80px-Station_156_Langenbach.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#156._Langenbach,575,2,Green
11.906194,50.443833,157. Misslareuth,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Misslareuth_Kirche.JPG/80px-Misslareuth_Kirche.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Misslareuth_Kirche.JPG/80px-Misslareuth_Kirche.JPG,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#157._Misslareuth,631,2,Green
11.969083,50.407417,158. Kandelstein,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Station_158_Kandelstein.jpg/80px-Station_158_Kandelstein.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Station_158_Kandelstein.jpg/80px-Station_158_Kandelstein.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#158._Kandelstein,607,2,Green
